NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:03:34	608273.39028640
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
85	0.28000	950.082	476.744	901.575	1115.449	642.512	539.510	0.000	0.000	0.000	1074.257	666.240	13.144	1016.199	265.744	643.432	855.308	131.803	465.890	969.631	455.076	504.340
86	0.28333	950.162	476.656	901.641	1115.076	642.638	539.563	0.000	0.000	0.000	1073.773	666.356	13.473	1016.719	265.496	643.329	857.338	130.214	465.262	969.613	454.963	504.355
87	0.28667	950.244	476.568	901.712	1114.690	642.785	539.565	0.000	0.000	0.000	1073.368	666.148	13.066	1017.229	265.256	643.221	859.501	128.581	464.777	969.601	454.815	504.357
88	0.29000	950.320	476.475	901.781	1114.364	642.940	539.580	0.000	0.000	0.000	1072.926	666.524	13.433	1017.757	264.994	643.068	861.628	127.009	464.210	969.581	454.710	504.360
89	0.29333	950.401	476.389	901.841	1114.028	643.099	539.490	0.000	0.000	0.000	1072.458	666.735	13.530	1018.268	264.712	642.932	863.740	125.478	463.567	969.566	454.579	504.367
90	0.29667	950.476	476.302	901.913	1113.660	643.249	539.534	0.000	0.000	0.000	1072.011	666.513	13.276	1018.807	264.425	642.833	865.947	123.913	462.927	969.546	454.461	504.364
91	0.30000	950.555	476.219	901.995	1113.269	643.399	539.564	0.000	0.000	0.000	1071.590	666.497	13.183	1019.513	264.173	642.854	868.171	122.373	462.270	969.530	454.341	504.369
92	0.30333	950.638	476.132	902.070	1112.921	643.527	539.619	0.000	0.000	0.000	1071.125	666.844	13.440	1019.830	263.824	642.432	870.378	120.923	461.526	969.508	454.173	504.378
93	0.30667	950.707	476.052	902.113	1112.566	643.693	539.676	0.000	0.000	0.000	1070.710	666.848	13.317	1020.388	263.544	642.301	872.742	119.357	460.964	969.488	454.035	504.372
94	0.31000	950.778	475.960	902.188	1112.199	643.851	539.746	0.000	0.000	0.000	1070.243	666.855	13.345	1020.941	263.272	642.105	875.129	117.855	460.220	969.467	453.874	504.371
95	0.31333	950.844	475.880	902.235	1111.803	643.989	539.775	0.000	0.000	0.000	1069.777	667.054	13.489	1021.498	262.966	641.942	877.414	116.440	459.355	969.442	453.725	504.450
96	0.31667	950.921	475.784	902.299	1111.439	644.119	539.797	0.000	0.000	0.000	1069.337	667.415	13.688	1022.051	262.655	641.745	879.839	114.981	458.706	969.405	453.568	504.451
97	0.32000	950.981	475.700	902.360	1111.095	644.248	539.888	0.000	0.000	0.000	1068.831	667.554	14.035	1023.072	262.010	642.153	882.252	113.576	458.020	969.372	453.435	504.560
98	0.32333	951.061	475.611	902.450	1110.720	644.402	539.951	0.000	0.000	0.000	1068.390	667.516	13.932	1024.043	261.685	642.463	884.657	112.227	457.144	969.407	453.234	504.661
99	0.32667	951.117	475.524	902.511	1110.337	644.515	539.964	0.000	0.000	0.000	1067.942	667.744	14.029	1024.263	260.575	641.566	887.691	110.063	456.882	969.339	453.148	504.599
100	0.33000	951.177	475.413	902.585	1109.999	644.615	539.965	0.000	0.000	0.000	1067.528	667.943	14.112	1024.878	260.262	641.459	890.180	108.772	455.995	969.316	452.981	504.629
101	0.33333	951.234	475.313	902.635	1109.627	644.738	540.024	0.000	0.000	0.000	1067.078	667.797	13.906	1025.457	259.973	641.269	892.744	107.462	455.107	969.283	452.839	504.669
102	0.33667	951.299	475.219	902.695	1109.227	644.811	539.999	0.000	0.000	0.000	1066.620	667.993	13.989	1025.945	259.648	641.117	895.237	106.320	454.070	969.290	452.641	504.752
103	0.34000	951.364	475.120	902.770	1108.813	644.908	539.998	0.000	0.000	0.000	1066.152	668.396	14.227	1026.512	259.336	640.999	897.871	105.144	453.218	969.265	452.505	504.768
104	0.34333	951.441	475.029	902.831	1108.441	644.977	540.007	0.000	0.000	0.000	1065.766	668.281	14.040	1026.535	260.244	640.130	900.531	103.982	452.271	969.254	452.349	504.764
105	0.34667	951.526	474.935	902.902	1108.084	645.101	540.023	0.000	0.000	0.000	1065.295	668.405	14.070	1027.525	260.223	640.255	903.202	102.846	451.325	969.230	452.202	504.791
106	0.35000	951.617	474.838	902.970	1107.690	645.210	540.050	0.000	0.000	0.000	1064.809	668.640	14.190	1027.747	259.461	639.558	905.925	101.748	450.280	969.192	452.056	504.831
107	0.35333	951.712	474.746	903.048	1107.303	645.292	540.039	0.000	0.000	0.000	1064.340	668.952	14.676	1028.404	259.107	639.285	908.651	100.654	449.280	969.180	451.907	504.834
108	0.35667	951.794	474.636	903.102	1106.928	645.345	540.143	0.000	0.000	0.000	1063.914	668.964	14.611	1029.039	258.815	639.045	911.473	99.547	448.287	969.170	451.760	504.841
109	0.36000	951.885	474.535	903.177	1106.575	645.445	540.225	0.000	0.000	0.000	1063.481	668.957	14.563	1030.000	258.723	639.004	914.194	98.582	447.175	969.134	451.620	504.848
110	0.36333	951.987	474.412	903.261	1106.205	645.547	540.260	0.000	0.000	0.000	1063.027	669.123	14.639	1030.235	258.042	638.365	916.990	97.709	445.962	969.128	451.484	504.844
111	0.36667	952.078	474.289	903.329	1105.840	645.656	540.309	0.000	0.000	0.000	1062.575	669.180	14.483	1030.890	257.745	638.104	919.822	96.814	444.842	969.105	451.306	504.839
112	0.37000	952.167	474.151	903.390	1105.453	645.752	540.289	0.000	0.000	0.000	1062.204	669.128	14.397	1031.515	257.485	637.890	922.731	95.898	443.731	969.093	451.145	504.847
113	0.37333	952.258	474.021	903.434	1105.057	645.846	540.303	0.000	0.000	0.000	1061.733	669.395	14.593	1032.151	257.175	637.586	925.665	95.009	442.657	969.064	450.906	504.814
114	0.37667	952.343	473.883	903.494	1104.716	645.969	540.365	0.000	0.000	0.000	1061.283	669.401	14.447	1032.887	256.870	637.344	928.515	94.227	441.399	969.049	450.717	504.864
115	0.38000	952.453	473.753	903.536	1104.361	646.040	540.378	0.000	0.000	0.000	1060.864	669.322	14.294	1033.471	256.509	636.964	931.443	93.452	440.239	969.056	450.525	504.882
116	0.38333	952.537	473.609	903.606	1103.981	646.125	540.411	0.000	0.000	0.000	1060.436	669.637	14.510	1034.115	256.174	636.625	934.336	92.729	439.009	969.035	450.347	504.890
117	0.38667	952.654	473.458	903.669	1103.612	646.211	540.486	0.000	0.000	0.000	1059.995	669.890	14.647	1034.722	255.927	636.430	937.287	92.009	437.799	969.037	450.137	504.968
118	0.39000	952.744	473.311	903.731	1103.269	646.307	540.539	0.000	0.000	0.000	1059.577	669.720	14.432	1035.356	255.677	636.240	940.251	91.344	436.602	969.019	449.961	505.000
119	0.39333	952.843	473.143	903.781	1102.927	646.354	540.566	0.000	0.000	0.000	1059.095	669.993	14.713	1035.960	255.399	636.031	943.239	90.833	435.296	969.000	449.744	505.032
120	0.39667	952.947	472.981	903.854	1102.557	646.394	540.647	0.000	0.000	0.000	1058.619	670.379	15.095	1036.526	255.104	635.695	946.199	90.367	433.980	968.998	449.575	505.027
121	0.40000	953.050	472.782	903.923	1102.176	646.484	540.818	0.000	0.000	0.000	1058.185	670.586	15.182	1037.111	254.777	635.395	949.231	89.897	432.622	968.972	449.361	505.007
122	0.40333	953.154	472.608	903.994	1101.821	646.473	540.814	0.000	0.000	0.000	1057.722	670.535	15.059	1037.671	254.507	635.181	952.280	89.457	431.329	968.957	449.155	505.036
123	0.40667	953.267	472.429	904.075	1101.469	646.531	540.866	0.000	0.000	0.000	1057.311	670.603	15.034	1038.258	254.215	634.919	955.347	89.015	430.023	968.946	448.993	505.054
